プレイヤー名,合計,パーフェクトイーター,Preserved Valkyria,Rhapsody ⚙f Triumph
ANZUINFO（6 回）,29782616,9991471,9882930,9908215
KT1MO-D（1 回）,29781826,9961620,9907477,9912729
H7*ONE-3（1 回）,29780617,9938166,9920694,9921757
47MN.COM（1 回）,29780096,9916844,9949018,9914234
20AH071（1 回）,29780048,9959488,9901812,9918748
ONLOOKER（1 回）,29779019,9921108,9930135,9927776
MR.WHITE（1 回）,29778857,9948827,9918806,9911224
GB-SUBRO（1 回）,29778693,9968017,9875377,9935299
KINOMIYA（1 回）,29777228,9955223,9886706,9935299
FAIRU（1 回）,29776969,9893390,9952794,9930785
MI-YAN（1 回）,29775651,9982942,9898036,9894673
UNAKIRI!（2 回）,29775133,9978678,9894259,9902196
MA*RO-N.（1 回）,29774986,9899786,9926359,9948841
UNAGIINU（1 回）,29774895,9970149,9898036,9906710
FUNAMI.M（1 回）,29774650,9936034,9901812,9936804
FUMIYA.S（1 回）,29774337,9899786,9952794,9921757
K.3MURA（2 回）,29771996,9944562,9928247,9899187
OMOCHIYA（1 回）,29771786,9982942,9871601,9917243
Z3K1*QMC（1 回）,29771585,9976545,9916918,9878122
NR*EULER（3 回）,29771351,9929637,9924471,9917243
KOUNO.M（1 回）,29770072,9918976,9918806,9932290
#WASETCH（1 回）,29769756,9953091,9867824,9948841
LEMON（1 回）,29768547,9953091,9943353,9872103
YEAHSOM2（1 回）,29767590,9933901,9892371,9941318
SUICABAR（1 回）,29767222,9961620,9828172,9977430
TABI（1 回）,29767061,9942430,9884818,9939813
072315（1 回）,29766781,9970149,9843277,9953355
#BP.YSN（1 回）,29766202,9980810,9854607,9930785
OHO?SEAN（1 回）,29765525,9957356,9907477,9900692
YRLNGR（1 回）,29765487,9931769,9899924,9933794
FCHIKA（1 回）,29764081,9886993,9928247,9948841
MONICA.（1 回）,29763781,9948827,9911253,9903701
#SAYU（1 回）,29763756,9910447,9907477,9945832
IMAS-35K（1 回）,29763712,9938166,9926359,9899187
ECL4IR（10 回）,29763415,9985074,9879154,9899187
*MITO（2 回）,29761392,9925373,9911253,9924766
OTOGAME&（1 回）,29758818,9955223,9892371,9911224
-W-.TS（1 回）,29756804,9976545,9888595,9891664
SHOKO（3 回）,29755781,9931769,9918806,9905206
....（1 回）,29755106,9861407,9943353,9950346
RUFFIANS（3 回）,29754711,9985074,9865936,9903701
NRS*468（1 回）,29754179,9897654,9960347,9896178
SION（2 回）,29748964,9955223,9873489,9920252
W4Z（1 回）,29747772,9912579,9892371,9942822
MIZUKI（2 回）,29744322,9944562,9873489,9926271
APPLE.V（1 回）,29743266,9938166,9892371,9912729
NOXA.MP（1 回）,29741477,9948827,9882930,9909720
M!IKY*7（1 回）,29741302,9933901,9903700,9903701
SV.HARD（1 回）,29741247,9918976,9858383,9963888
ARDBEG（1 回）,29741072,9950959,9907477,9882636
TUBU.IM（1 回）,29739745,9927505,9890483,9921757
* （1 回）,29738725,9923240,9854607,9960878
MELOT.（2 回）,29736816,9948827,9941465,9846524
J.J*UMA（1 回）,29736287,9933901,9871601,9930785
AIRBLUE（1 回）,29735423,9876332,9943353,9915738
KANARIA（1 回）,29733443,9946695,9816842,9969906
1RIN（1 回）,29731570,9974413,9848942,9908215
DJMSGK（1 回）,29730788,9970149,9873489,9887150
M0N0.Y4-（1 回）,29730386,9933901,9901812,9894673
6-KEY#（4 回）,29730054,9931769,9881042,9917243
SIBUGAKI（1 回）,29729521,9955223,9903700,9870598
318MOMOI（2 回）,29728255,9908315,9935800,9884140
ARISA（1 回）,29727775,9961620,9841389,9924766
H.T.VEN（1 回）,29726895,9923240,9907477,9896178
LAGR4NGE（1 回）,29726014,9940298,9937688,9848028
DG-0*FNS（1 回）,29725185,9955223,9852719,9917243
KODAMAKD（1 回）,29722536,9869936,9918806,9933794
SAKU#PND（1 回）,29721760,9970149,9873489,9878122
SEENOS（2 回）,29721596,9965884,9864048,9891664
NEOLAID（1 回）,29716268,9929637,9882930,9903701
SESS4N（2 回）,29712322,9987206,9831948,9893168
