プレイヤー名,合計,パーフェクトイーター,Drastic Dramatic,魔法のかくれんぼ,DEATH†ZIGOQ ～怒りの高速爆走野郎～,バッド・スイーツ、バッド・ドリーム
IIDX30,16292,2964,3419,2647,3801,3461
KASEKI,16290,2965,3430,2675,3818,3402
TYURAL,16280,2974,3420,2677,3804,3405
RJAPAN,16275,2964,3441,2629,3832,3409
JUG,16270,2978,3397,2681,3814,3400
HIRO99,16265,3011,3443,2602,3792,3417
MORITA,16249,2926,3448,2602,3902,3371
GOLUSI,16246,2962,3466,2634,3783,3401
LICIA.,16230,2964,3438,2632,3851,3345
X-KYAK,16229,2944,3403,2673,3805,3404
HRBR*,16223,2948,3423,2625,3802,3425
MEZASI,16218,2954,3418,2632,3828,3386
FUYOSH,16211,2948,3391,2616,3826,3430
FURI,16211,2945,3348,2659,3844,3415
AROTTE,16205,2928,3413,2683,3786,3395
HIRO-T,16203,2975,3394,2628,3810,3396
CERKA,16201,2937,3418,2605,3820,3421
DERA*,16200,2927,3402,2684,3776,3411
HIRO-G,16190,2924,3389,2689,3856,3332
MITTUN,16181,2923,3389,2658,3823,3388
STU,16179,2891,3415,2609,3866,3398
K.FUJI,16176,2959,3450,2613,3819,3335
LO,16170,3005,3356,2629,3780,3400
KIRISY,16156,2974,3413,2641,3747,3381
T-R3X,16152,2981,3416,2655,3748,3352
SERVAL,16142,2917,3401,2636,3821,3367
GASERI,16132,2940,3360,2638,3779,3415
58TON,16129,2958,3411,2597,3740,3423
DAIMON,16128,2989,3400,2616,3737,3386
109.C,16120,2939,3421,2521,3869,3370
MOODYZ,16115,2950,3428,2619,3785,3333
A,16109,2949,3414,2632,3705,3409
DICE,16108,2983,3289,2691,3683,3462
HAY4TA,16107,2938,3358,2669,3759,3383
WOOENG,16102,2932,3365,2687,3718,3400
PEACH,16098,2931,3412,2604,3744,3407
KENZO,16093,2951,3382,2587,3802,3371
.PRIMA,16087,2960,3393,2608,3747,3379
-AKI-,16084,3001,3435,2629,3546,3473
TKKN,16082,2931,3404,2615,3790,3342
3Y2S,16069,2947,3396,2604,3741,3381
303,16068,2946,3392,2513,3791,3426
MIEKEN,16067,2940,3368,2601,3758,3400
AXEL.,16066,2970,3417,2528,3787,3364
AMMKRN,16061,2927,3375,2614,3799,3346
BALDER,16059,2931,3368,2631,3758,3371
KUMA..,16051,2943,3368,2563,3850,3327
NEKOZE,16050,2974,3421,2592,3721,3342
HIDEN,16050,2923,3395,2646,3756,3330
ZNDMN,16047,2908,3412,2617,3783,3327
M!SH,16041,2925,3319,2638,3722,3437
IIDX30,16034,2939,3378,2573,3754,3390
